Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1527/1966] Compiling src/lte/model/lte-ue-phy.cc
[1881/1966] Linking build/lib/libns3.29-lte-debug.so
[1922/1966] Linking build/lib/libns3.29-netanim-debug.so
[1923/1966] Linking build/lib/libns3.29-test-debug.so
[1924/1966] Linking build/bindings/python/ns/antenna.so
[1925/1966] Linking build/bindings/python/ns/aodv.so
[1926/1966] Linking build/bindings/python/ns/applications.so
[1927/1966] Linking build/bindings/python/ns/bridge.so
[1928/1966] Linking build/bindings/python/ns/buildings.so
[1929/1966] Linking build/bindings/python/ns/config_store.so
[1930/1966] Linking build/bindings/python/ns/_core.so
[1931/1966] Linking build/bindings/python/ns/csma.so
[1932/1966] Linking build/bindings/python/ns/csma_layout.so
[1933/1966] Linking build/bindings/python/ns/dsdv.so
[1934/1966] Linking build/bindings/python/ns/dsr.so
[1935/1966] Linking build/bindings/python/ns/energy.so
[1936/1966] Linking build/bindings/python/ns/fd_net_device.so
[1937/1966] Linking build/bindings/python/ns/flow_monitor.so
[1938/1966] Linking build/bindings/python/ns/internet.so
[1939/1966] Linking build/bindings/python/ns/internet_apps.so
[1940/1966] Linking build/bindings/python/ns/lr_wpan.so
[1941/1966] Linking build/bindings/python/ns/lte.so
[1942/1966] Linking build/bindings/python/ns/mesh.so
[1943/1966] Linking build/bindings/python/ns/mobility.so
[1944/1966] Linking build/bindings/python/ns/mpi.so
[1945/1966] Linking build/bindings/python/ns/network.so
[1946/1966] Linking build/bindings/python/ns/nix_vector_routing.so
[1947/1966] Linking build/bindings/python/ns/olsr.so
[1948/1966] Linking build/bindings/python/ns/point_to_point.so
[1949/1966] Linking build/bindings/python/ns/point_to_point_layout.so
[1950/1966] Linking build/bindings/python/ns/propagation.so
[1951/1966] Linking build/bindings/python/ns/sixlowpan.so
[1952/1966] Linking build/bindings/python/ns/spectrum.so
[1953/1966] Linking build/bindings/python/ns/stats.so
[1954/1966] Linking build/bindings/python/ns/tap_bridge.so
[1955/1966] Linking build/bindings/python/ns/topology_read.so
[1956/1966] Linking build/bindings/python/ns/traffic_control.so
[1957/1966] Linking build/bindings/python/ns/uan.so
[1958/1966] Linking build/bindings/python/ns/virtual_net_device.so
[1959/1966] Linking build/bindings/python/ns/wave.so
[1960/1966] Linking build/bindings/python/ns/wifi.so
[1961/1966] Linking build/bindings/python/ns/wimax.so
[1962/1966] Linking build/scratch/scratch-simulator
[1963/1966] Linking build/scratch/lastest
[1964/1966] Linking build/scratch/subdir/subdir
[1965/1966] Linking build/utils/ns3.29-test-runner-debug
[1966/1966] Linking build/utils/ns3.29-print-introspected-doxygen-debug
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (41.437s)
39 51  25
39 25  52
39 20  25
39 51  42
39 51  25
39 51  52
39 51  42
17 31  39
22 39  51
39 22  25
39 20  42
52 25  51
39 34  51
17 22  39
22 39  51
25 39  51
39 17  42
17 22  39
39 17  22
39 51  29
39 25  51
51 25  42
39 51  25
17 22  39
39 52  51
39 22  52
17 39  51
51 39  52
22 39  51
39 22  51
39 22  48
17 39  52
22 39  29
17 39  25
39 52  34
51 17  20
22 39  42
17 39  25
17 39  51
39 22  25
39 22  25
39 22  42
17 39  51
39 25  42
22 25  51
22 25  51
39 25  34
25 39  51
25 39  51
39 22  25
25 42  51
39 42  51
39 34  52
39 31  51
25 17  52
25 39  52
22 39  31
39 25  52
22 25  39
17 39  52
17 39  42
17 22  39
39 22  51
39 52  42
25 39  51
39 22  51
25 39  52
25 39  42
17 25  51
25 39  51
25 39  22
25 52  51
17 39  51
22 25  39
39 25  51
17 39  34
22 39  51
39 25  42
22 39  51
39 25  52
22 39  48
39 17  22
17 39  52
22 39  52
39 20  51
22 39  52
39 51  52
17 39  34
17 51  52
22 39  31
17 22  39
39 51  31
17 39  51
22 39  51
8 17  22
25 39  31
25 39  42
22 39  34
17 39  25
39 29  22
17 22  39
39 51  25
17 22  39
39 25  51
39 52  51
39 51  42
39 22  31
39 48  31
39 51  31
39 51  52
39 51  42
39 22  26
39 22  51
39 51  52
39 52  34
39 22  31
39 25  31
39 22  29
39 48  52
22 39  52
39 25  42
39 22  25
39 51  52
39 29  51
22 39  52
17 39  51
22 39  34
39 25  51
17 22  25
39 22  25
25 39  42
25 22  39
17 22  39
39 22  25
39 25  42
17 39  25
39 22  52
17 39  51
22 39  51
39 22  51
22 39  51
39 51  52
22 39  31
39 51  42
17 22  25
22 51  39
17 39  20
39 22  51
17 39  51
17 22  39
51 25  39
22 25  39
25 39  51
25 39  52
25 39  51
25 39  29
22 25  39
25 22  39
39 22  42
22 39  52
17 22  39
39 52  34
25 39  51
39 25  29
25 22  39
22 39  51
17 22  39
22 39  29
25 17  39
17 25  39
25 39  51
17 25  39
25 22  29
25 42  52
39 22  42
17 25  39
17 25  39
25 39  51
39 25  51
25 39  52
39 22  29
25 39  42
25 39  42
39 34  51
25 51  39
25 39  29
17 25  39
39 22  51
17 22  25
39 22  51
17 22  25
22 39  52
