Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1929/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (12.676s)
5 1 0.444214
13 1 0.444214
28 1 0.444214
23 5 0.444214
33 5 0.444214
36 5 0.444214
43 5 0.444214
9 15 0.444214
17 15 0.444214
4 1 0.450214
46 5 0.450214
19 5 0.456214
11 15 0.456214
32 15 0.456214
15 5 0.684214
16 1 0.690214
45 15 0.690214
39 1 0.702214
32 1 0.844214
20 5 0.924214
22 5 0.924214
12 15 1.16421
29 15 1.16421
27 5 1.18221
4 5 1.32421
14 5 1.41021
9 1 1.56421
11 1 1.56421
33 1 1.56421
46 15 1.57021
29 1 1.68421
28 5 1.80421
23 15 1.80421
14 1 1.84421
33 15 1.84421
29 15 2.04421
9 15 2.08421
2 1 2.12421
10 1 2.12421
---------------------------
32 15 2.44421
45 1 2.48421
4 1 2.60421
34 1 2.60421
48 5 2.61021
42 1 2.62821
29 1 2.68421
43 15 2.76421
36 15 3.00421
48 15 3.04421
34 5 3.05021
45 15 3.08421
9 1 3.16421
20 15 3.40421
17 5 3.48421
50 5 3.56421
44 15 3.56421
---------------------------
27 15 3.60421
22 15 3.64421
39 15 3.68421
36 5 3.69021
47 15 3.80421
20 5 3.84421
40 1 4.04421
27 5 4.04421
30 15 4.04421
43 5 4.24421
---------------------------
21 1 4.52421
41 1 4.52421
26 5 4.52421
32 1 4.53021
48 5 4.64421
50 1 4.81021
18 1 5.00421
38 1 5.00421
8 5 5.01021
39 1 5.24421
48 15 5.29021
21 5 5.32421
46 1 5.46821
33 1 5.62821
4 5 5.68421
21 1 5.89021
12 1 6.01021
30 1 6.12421
22 5 6.20421
50 5 6.20421
21 5 6.24421
---------------------------
46 15 6.33621
35 1 6.45021
7 15 6.45621
30 15 6.46221
44 5 6.48421
8 1 6.64421
31 1 6.69021
14 5 6.81621
7 5 6.84421
27 15 6.84421
17 15 6.96421
9 15 7.05021
30 1 7.08421
22 15 7.12421
49 15 7.17021
48 5 7.33021
17 5 7.48421
11 15 7.60421
47 5 7.61021
42 15 7.61021
29 15 7.61621
1 1 7.65021
22 5 7.68421
11 1 8.04421
1 5 8.04421
44 15 8.04421
47 15 8.04421
17 1 8.08421
49 5 8.16421
33 15 8.21021
14 1 8.21621
31 5 8.25021
25 15 8.36421
47 5 8.45621
30 15 8.64421
35 5 8.76421
17 5 9.16421
49 15 9.16421
42 5 9.24421
6 15 9.32421
23 5 9.69621
19 1 9.73021
21 1 9.76421
17 1 9.92421
34 1 9.92421
40 5 9.97021
29 1 9.97621
47 15 10.0442
34 5 10.2442
---------------------------
27 5 10.3642
11 15 10.3702
40 1 10.4842
11 1 10.6442
39 15 10.6842
50 1 10.7242
19 5 10.7762
33 1 10.8042
42 1 10.8502
15 15 11.1302
19 1 11.2842
27 1 11.3642
33 15 11.4842
18 5 11.6842
49 5 11.8502
23 15 12.2042
42 15 12.2042
44 5 12.5242
22 15 12.6042
21 5 12.6842
33 1 12.8042
29 15 12.8842
20 15 12.8962
3 1 12.9242
28 15 13.0502
1 1 13.4842
7 1 13.4842
28 5 13.6842
29 1 13.9642
2 5 13.9642
20 5 13.9642
48 15 14.1242
1 5 14.3242
42 5 14.3242
30 5 14.3302
12 15 14.3642
3 5 14.4682
24 15 14.6102
1 1 14.6442
25 1 14.6442
30 15 14.6442
22 5 14.7242
29 15 14.7242
12 5 14.9082
18 1 14.9242
22 15 15.0562
3 15 15.0842
48 5 15.1642
34 1 15.2042
49 15 15.3642
40 5 15.4042
22 5 15.4502
28 1 15.4902
25 15 15.5242
3 5 15.6842
25 1 15.8442
28 5 15.8442
44 1 15.9642
12 15 15.9642
29 1 16.0042
46 1 16.0222
11 5 16.0842
44 5 16.2442
20 15 16.4042
29 15 16.4562
49 5 16.6042
48 15 16.6442
46 15 16.6842
36 1 16.7642
7 5 16.9702
37 1 17.0102
29 1 17.0902
7 1 17.2442
46 1 17.2842
49 1 17.2842
28 1 17.4502
12 1 17.6902
36 5 18.0042
22 1 18.0282
12 5 18.0442
46 15 18.1242
1 5 18.1702
48 5 18.2502
11 1 18.3642
35 15 18.4042
12 15 18.4442
11 5 18.6442
48 15 18.6442
6 1 19.0042
28 5 19.0502
46 1 19.6442
