Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1928/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (27.342s)
---------------------------
---------------------------
1 150 5 0.440001
2 88 4 0.440001
3 123 5 0.440001
4 44 5 0.440001
5 16 5 0.440001
6 31 4 0.440001
7 126 3 0.440001
8 141 5 0.440001
9 21 5 0.440001
10 3 4 0.440001
11 108 4 0.440001
12 1 5 0.440001
13 107 4 0.440001
14 139 4 0.440001
15 80 4 0.440001
16 14 4 0.440001
17 157 4 0.440001
18 76 2 0.440001
19 67 4 0.440001
20 26 4 0.440001
21 144 5 0.440001
22 21 5 0.440001
23 135 4 0.440001
24 23 5 0.440001
---------------------------
25 177 4 0.640001
26 216 4 0.640001
27 220 5 0.640001
28 51 6 0.640001
29 200 4 0.640001
30 66 3 0.640001
31 240 5 0.640001
32 176 6 0.640001
33 84 3 0.640001
34 202 5 0.640001
35 194 5 0.640001
36 64 5 0.640001
37 211 5 0.640001
38 222 4 0.640001
39 195 4 0.640001
40 160 4 0.640001
41 182 3 0.640001
42 58 4 0.640001
43 241 3 0.640001
44 217 4 0.640001
45 188 4 0.640001
46 14 7 0.800001
47 121 4 0.840001
48 115 4 0.840001
49 258 4 0.840001
50 273 5 0.840001
51 16 0 0.840001
52 291 3 0.840001
53 2 13 1.24
54 23 15 1.64
55 1 6 2.64
56 8 5 2.64
57 1 13 2.68
58 3 8 3
59 21 15 3.04
60 3 14 3.16
61 4 13 3.52
62 5 8 3.56
63 13 16 3.6
64 2 15 3.8
65 24 4 3.84
66 12 16 3.84
67 14 10 3.92
68 5 13 4
69 17 15 4.4
70 17 4 4.44
71 9 3 4.56
72 25 12 4.8
73 6 16 4.8
74 10 6 4.96
75 23 9 5.16
76 10 15 5.2
77 7 15 5.24
78 13 12 5.24
79 6 11 5.6
80 29 16 5.6
81 30 2 5.64
82 9 12 5.92
83 11 12 5.96
84 27 0 6.04
85 29 12 6.24
86 25 16 6.6
87 8 12 6.64
88 14 14 7
89 27 13 7.04
90 31 14 7.04
---------------------------
91 30 12 7.08
92 12 13 7.16
93 8 16 7.2
94 15 13 7.6
95 37 4 7.84
96 16 15 7.84
97 39 5 8
98 44 0 8.04
99 7 16 8.04
100 43 8 8.2
101 35 0 8.44
102 38 16 8.6
103 18 14 8.68
104 32 10 8.88
105 17 13 8.88
106 18 14 8.88
107 19 15 8.92
108 28 16 9
---------------------------
109 46 2 9.24
110 20 13 9.6
111 45 16 9.6
112 48 6 9.8
113 21 6 9.8
114 34 12 9.96
