Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (17.692s)
---------------------------
---------------------------
---------------------------
2 1 0.444214
4 1 0.444214
5 1 0.444214
7 1 0.444214
10 1 0.444214
15 1 0.444214
22 1 0.444214
42 1 0.444214
14 5 0.444214
20 5 0.444214
23 5 0.444214
26 5 0.444214
38 5 0.444214
43 5 0.444214
50 5 0.444214
12 15 0.444214
16 15 0.444214
25 15 0.444214
30 15 0.444214
32 15 0.444214
39 15 0.444214
47 15 0.444214
21 1 0.450214
24 1 0.450214
28 1 0.450214
34 1 0.450214
41 1 0.450214
44 1 0.450214
27 5 0.450214
1 1 0.644214
3 1 0.644214
6 1 0.644214
18 1 0.644214
19 1 0.644214
31 1 0.644214
36 1 0.644214
40 1 0.644214
11 5 0.644214
37 5 0.644214
8 15 0.644214
13 15 0.644214
29 15 0.644214
45 15 0.644214
49 1 0.650214
46 1 0.684214
50 1 0.804214
20 1 0.844214
27 1 0.844214
35 1 0.844214
42 5 0.844214
48 5 0.844214
9 15 0.844214
14 15 0.844214
28 15 0.844214
33 1 0.924214
17 5 0.924214
45 5 1.04421
6 15 1.04421
5 15 1.20421
48 1 1.40421
12 5 1.40421
3 15 1.40421
41 15 1.40421
28 1 1.44421
46 15 1.44421
33 5 1.48421
32 5 1.60421
10 15 1.60421
29 5 1.80421
47 5 1.80421
46 5 1.84421
11 15 1.88421
2 15 2.00421
27 15 2.00421
23 1 2.20421
4 15 2.20421
3 1 2.24421
6 1 2.24421
29 15 2.48421
8 1 2.68421
45 15 2.80421
22 5 2.96421
35 15 3.00421
17 1 3.20421
6 5 3.36421
48 5 3.36421
26 1 3.40421
43 1 3.40421
39 5 3.40421
42 15 3.40421
44 5 3.44421
27 1 3.60421
24 5 3.60421
25 5 3.60421
1 15 3.60421
30 5 3.68421
38 15 3.76421
6 1 3.84421
36 15 3.84421
40 5 3.96421
48 1 4.00421
45 5 4.00421
27 5 4.05021
49 15 4.32421
18 15 4.40421
27 1 4.44421
36 1 4.48421
23 5 4.52421
49 5 4.64421
15 5 4.72421
40 15 4.72421
15 1 5.00421
25 15 5.16421
29 1 5.36421
32 15 5.36421
31 15 5.40421
14 1 5.76421
22 1 5.80421
40 5 6.00421
48 5 6.16421
9 5 6.20421
12 15 6.36421
25 5 6.40421
23 1 6.60421
10 5 6.60421
19 15 6.60421
37 1 6.64421
1 1 6.76421
24 1 6.80421
47 1 6.80421
48 1 6.80421
8 15 6.80421
4 1 7.00421
33 1 7.01821
27 5 7.04421
17 5 7.32421
1 15 7.40421
33 15 7.44421
23 5 7.76421
14 15 7.80421
30 15 7.93621
17 1 8.08421
39 15 8.12421
30 5 8.24421
42 5 8.24421
11 1 8.28421
47 5 8.36421
34 5 8.40421
39 5 8.40421
21 15 8.40421
17 15 8.44421
8 1 8.52421
4 5 8.56421
5 5 8.60421
33 5 8.60421
47 1 8.80421
42 1 8.81021
4 1 8.84421
23 1 9.00421
43 15 9.00421
50 15 9.00421
40 15 9.16421
7 15 9.20421
11 15 9.20421
8 15 9.32421
29 5 9.52421
6 5 9.56421
28 5 9.60421
50 1 9.68421
15 5 9.68421
24 5 9.68421
37 5 9.72421
20 5 9.76421
29 1 9.80421
31 1 9.92421
28 1 10.0442
16 5 10.0442
47 5 10.1242
4 5 10.2042
29 15 10.2442
3 5 10.4442
50 15 10.4442
9 1 10.6042
42 15 10.6442
28 5 10.6842
27 15 10.8842
10 15 10.9242
24 1 11.0042
22 15 11.0042
12 1 11.1242
23 5 11.1642
4 1 11.2042
36 15 11.2042
32 1 11.3642
49 1 11.4442
5 15 11.4842
44 1 11.6042
36 1 11.6442
29 5 11.6442
7 1 11.7642
16 1 12.0042
43 1 12.0042
9 5 12.0442
3 15 12.1642
30 1 12.2042
41 5 12.2042
7 15 12.2042
18 1 12.3242
33 15 12.4442
25 1 12.5322
22 5 12.6042
42 5 12.6042
32 15 12.6042
2 1 12.7642
25 15 12.8442
26 15 12.8802
26 1 13.2442
36 15 13.4042
24 5 13.4842
28 15 13.5642
16 15 13.6042
43 15 13.6042
38 1 13.6842
34 15 13.7642
42 1 13.8042
21 5 13.9362
18 15 14.0042
41 15 14.1242
3 5 14.2042
21 1 14.2442
12 5 14.2842
28 5 14.4042
2 15 14.4042
12 1 14.6042
44 15 14.6042
13 1 14.7642
18 1 14.8842
7 1 14.9562
22 15 14.9642
37 15 14.9642
30 5 15.2042
7 15 15.2442
18 15 15.4042
2 1 15.5242
38 15 15.6042
45 1 15.8042
40 1 15.8842
46 15 15.8842
13 15 16.0042
48 5 16.1242
11 1 16.1642
10 5 16.2042
44 1 16.3642
31 5 16.4042
12 5 16.5642
13 1 17.1242
42 5 17.1642
3 1 17.2042
31 1 17.4042
45 5 17.4042
9 1 17.6042
47 1 17.8442
28 15 17.9242
12 1 18.0042
42 1 18.0042
41 5 18.0042
6 1 18.2042
13 15 18.2042
1 5 18.2562
5 1 18.3642
38 1 18.4042
1 15 18.6442
47 15 18.8042
3 5 18.9242
1 1 19.0442
36 1 19.1642
29 15 19.1642
6 15 19.2042
31 5 19.3242
16 5 19.4042
40 15 19.6042
12 5 19.7642
3 1 19.8042
5 15 19.8042
27 1 19.9642
