Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (12.306s)
1 65 14 2.24
2 50 16 2.8
3 48 13 2.8
4 51 14 2.8
5 38 14 2.8
6 12 13 2.8
7 13 15 2.8
8 34 14 2.8
9 7 14 2.8
10 26 15 2.8
11 45 14 2.84
12 41 13 2.84
13 54 14 2.84
14 25 13 2.84
15 36 13 2.84
16 42 14 2.84
17 44 13 2.84
18 49 12 2.84
19 53 14 2.84
20 23 14 3
21 62 13 3
22 1 9 3
23 55 15 3
24 6 15 3
25 43 14 3
26 28 16 3
27 14 13 3
28 33 12 3
29 56 14 3
30 18 16 3
31 61 15 3
32 31 11 3.04
33 22 11 3.04
34 1 13 3.04
35 21 12 3.04
36 52 12 3.04
37 16 12 3.04
38 15 13 3.04
39 35 11 3.04
40 4 12 3.04
---------------------------
---------------------------
41 46 11 3.08
42 47 15 3.2
43 55 0 3.2
44 2 14 3.2
45 37 11 3.24
46 21 11 3.28
47 52 10 3.28
48 16 10 3.28
49 35 11 3.28
50 4 10 3.28
---------------------------
51 46 10 3.32
52 33 8 3.4
53 11 8 3.4
54 27 11 3.4
55 9 12 3.4
56 2 5 3.44
57 20 5 3.44
58 21 3 3.44
59 3 7 3.44
60 47 13 3.44
61 23 4 3.44
62 24 3 3.44
63 25 5 3.44
64 28 6 3.44
65 29 2 3.44
66 7 3 3.44
67 30 1 3.44
68 17 7 3.44
69 10 5 3.44
70 24 11 3.48
71 5 12 3.48
72 63 11 3.48
73 11 12 3.48
74 21 10 3.52
75 52 11 3.52
76 16 9 3.52
77 15 11 3.52
78 35 10 3.52
79 4 10 3.52
---------------------------
80 46 11 3.56
81 31 7 3.6
82 26 5 3.6
83 8 5 3.6
84 19 6 3.6
---------------------------
85 32 4 3.64
86 4 5 3.64
87 22 0 3.64
88 12 2 3.64
89 13 3 3.64
90 14 2 3.64
91 5 3 3.64
92 15 2 3.64
93 42 2 3.64
94 6 4 3.64
95 16 3 3.64
96 18 4 3.64
97 43 2 3.64
98 47 12 3.68
99 8 11 3.68
100 21 11 3.76
101 52 11 3.76
102 16 10 3.76
103 15 11 3.76
104 35 11 3.76
105 4 11 3.76
---------------------------
106 46 11 3.8
107 67 12 3.84
108 68 10 3.84
109 69 9 3.84
110 70 9 3.84
111 18 0 3.88
112 43 0 3.88
113 27 8 3.92
114 60 7 3.92
115 47 11 3.92
116 66 7 3.92
117 8 9 3.92
118 21 11 4
119 52 10 4
120 16 11 4
121 15 8 4
122 35 11 4
123 4 11 4
---------------------------
124 46 11 4.04
125 4 13 4.08
126 18 0 4.12
127 43 0 4.12
128 47 10 4.16
129 8 6 4.16
130 18 6 4.2
131 1 12 4.2
132 23 12 4.2
133 16 5 4.2
134 20 12 4.2
135 21 9 4.24
136 52 8 4.24
137 16 12 4.24
138 15 6 4.24
139 35 13 4.24
140 4 11 4.24
141 5 16 4.24
142 14 14 4.24
143 39 12 4.24
144 40 14 4.24
145 7 16 4.24
146 22 6 4.24
147 37 15 4.24
148 8 15 4.24
149 19 6 4.24
150 2 9 4.24
151 11 11 4.24
152 1 9 4.24
---------------------------
153 46 11 4.28
154 9 14 4.28
155 30 12 4.28
156 17 13 4.28
157 6 15 4.32
158 18 4 4.36
159 43 5 4.36
160 47 5 4.4
161 8 2 4.4
162 26 14 4.4
163 2 11 4.44
164 25 10 4.44
165 29 2 4.44
166 31 1 4.44
167 32 9 4.44
168 3 1 4.44
169 21 0 4.44
---------------------------
170 21 7 4.48
171 52 7 4.48
172 16 11 4.48
173 15 4 4.48
174 35 11 4.48
175 4 9 4.48
176 15 7 4.48
177 36 9 4.48
178 24 9 4.48
179 28 0 4.48
180 10 1 4.48
181 38 12 4.48
---------------------------
182 46 9 4.52
183 27 4 4.52
184 12 13 4.56
185 47 4 4.64
186 8 2 4.64
187 8 14 4.64
188 4 15 4.64
189 11 15 4.64
190 13 0 4.68
191 21 6 4.72
192 52 6 4.72
193 16 9 4.72
194 15 3 4.72
195 35 9 4.72
196 4 7 4.72
---------------------------
197 46 8 4.76
198 13 9 4.84
199 12 3 4.84
200 21 11 4.84
201 19 13 4.84
202 14 13 4.84
203 20 11 4.84
204 15 13 4.84
205 16 11 4.84
206 17 14 4.84
207 18 14 4.84
208 47 3 4.88
209 8 1 4.88
210 5 11 4.88
211 6 12 4.88
212 7 16 4.88
213 21 5 4.96
214 52 5 4.96
215 16 8 4.96
216 15 2 4.96
217 35 7 4.96
218 4 6 4.96
---------------------------
219 46 5 5
220 47 2 5.12
221 8 2 5.12
222 3 14 5.12
223 9 13 5.12
224 10 13 5.12
225 21 3 5.2
226 52 3 5.2
227 16 4 5.2
228 15 3 5.2
229 35 3 5.2
230 4 4 5.2
---------------------------
231 46 4 5.24
232 47 2 5.36
233 8 2 5.36
234 49 12 5.4
235 44 10 5.4
236 21 3 5.44
237 52 3 5.44
238 16 3 5.44
239 15 3 5.44
240 35 3 5.44
241 4 3 5.44
---------------------------
242 46 3 5.48
243 47 2 5.6
244 8 5 5.6
245 48 11 5.6
246 50 11 5.6
247 53 13 5.6
248 54 10 5.6
249 52 13 5.6
---------------------------
250 46 9 5.6
251 61 13 5.6
252 60 8 5.64
253 21 2 5.68
254 52 2 5.68
255 16 2 5.68
256 15 3 5.68
257 35 2 5.68
258 4 2 5.68
---------------------------
259 46 2 5.72
260 72 11 5.8
261 47 2 5.84
262 8 5 5.84
263 57 6 5.84
264 45 8 5.84
265 47 6 5.84
266 56 6 5.84
267 58 7 5.84
268 51 7 5.84
269 62 6 5.84
270 55 7 5.84
271 21 2 5.92
272 52 1 5.92
273 16 1 5.92
274 15 4 5.92
275 35 2 5.92
276 4 2 5.92
---------------------------
277 46 2 5.96
278 13 6 6
279 64 10 6
280 59 8 6
281 16 5 6
282 65 14 6
283 3 3 6.04
284 1 6 6.04
285 63 6 6.04
286 2 6 6.04
287 10 10 6.04
288 4 9 6.04
289 5 4 6.04
290 6 4 6.04
291 7 4 6.04
292 66 5 6.04
293 47 3 6.08
294 8 5 6.08
295 21 2 6.16
296 52 2 6.16
297 16 1 6.16
298 15 4 6.16
299 35 1 6.16
300 4 1 6.16
---------------------------
301 46 2 6.2
302 80 11 6.2
303 81 12 6.2
304 70 8 6.2
305 71 6 6.2
306 82 13 6.2
307 43 8 6.2
308 12 6 6.24
309 14 1 6.24
310 15 0 6.24
311 77 6 6.24
312 67 2 6.24
313 68 5 6.24
314 69 5 6.24
315 78 7 6.24
316 11 0 6.24
317 73 5 6.24
318 17 6 6.24
319 74 3 6.24
320 8 4 6.24
321 18 5 6.24
322 75 6 6.24
323 9 9 6.28
324 47 3 6.32
325 8 4 6.32
326 21 2 6.4
327 52 3 6.4
328 16 0 6.4
329 15 3 6.4
330 35 2 6.4
331 4 2 6.4
