Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (14.086s)
---------------------------
---------------------------
21 30 0.444214
33 30 0.444214
4 39 0.444214
10 39 0.444214
28 39 0.444214
38 39 0.444214
5 36 0.450214
25 36 0.450214
26 36 0.450214
12 39 0.450214
2 39 0.456214
47 39 0.456214
34 30 0.468214
20 30 0.534214
13 30 0.644214
30 30 0.644214
31 30 0.644214
39 30 0.644214
42 30 0.644214
29 36 0.644214
44 36 0.644214
45 36 0.644214
14 39 0.644214
50 39 0.644214
8 36 0.650214
3 39 0.650214
17 39 0.650214
37 39 0.650214
6 39 0.656214
16 39 0.656214
48 39 0.656214
27 30 0.668214
32 39 0.674214
40 36 0.684214
18 39 0.686214
46 39 0.686214
24 39 0.740214
10 30 0.844214
9 39 0.844214
11 36 0.850214
41 30 0.884214
24 1 1.04421
27 1 1.04421
16 36 1.04421
44 39 1.04421
6 30 1.05021
29 30 1.05021
3 36 1.05021
37 36 1.05021
13 36 1.06821
21 39 1.08421
50 30 1.09221
18 30 1.28421
45 30 1.28421
31 36 1.28421
40 30 1.29021
46 30 1.30221
4 30 1.32421
28 30 1.33021
26 30 1.34221
16 30 1.44421
29 36 1.44421
44 36 1.44421
50 36 1.44421
13 39 1.44421
36 36 1.48421
11 39 1.48421
32 30 1.52421
2 30 1.56421
25 30 1.56421
47 30 1.56421
40 1 1.64421
31 30 1.64421
3 39 1.68421
21 36 1.70821
8 39 1.76421
30 36 1.77021
14 30 1.77621
50 1 1.84421
36 30 1.84421
32 39 1.85021
37 39 1.92421
3 30 2.04421
12 36 2.04421
47 39 2.09021
27 36 2.09621
18 1 2.12421
28 36 2.14221
48 1 2.24421
37 36 2.24421
17 30 2.25021
30 39 2.29021
38 36 2.29621
20 36 2.30221
26 36 2.37021
45 39 2.37021
28 30 2.44421
9 36 2.44421
3 36 2.45021
10 36 2.45021
---------------------------
32 36 2.49021
50 36 2.49621
21 39 2.52421
44 1 2.56421
13 30 2.56421
4 39 2.60421
46 39 2.60421
45 36 2.65021
---------------------------
20 30 2.66221
27 30 2.69021
40 30 2.69021
42 39 2.72421
8 36 2.76421
33 39 2.77021
34 39 2.77021
25 36 2.81021
3 30 2.84421
30 30 2.88421
26 30 2.90221
19 30 2.91421
41 39 2.94821
36 1 2.96421
5 30 3.00421
21 30 3.01821
31 39 3.02821
8 30 3.04421
34 30 3.04421
33 30 3.05021
27 36 3.05621
44 39 3.08421
35 36 3.13021
23 30 3.13621
39 36 3.20421
41 30 3.25021
26 36 3.26221
3 39 3.27421
20 1 3.28421
48 15 3.28421
7 30 3.31621
32 30 3.33021
---------------------------
47 30 3.41021
31 1 3.44421
35 30 3.44421
5 36 3.44421
33 36 3.44421
8 39 3.45021
19 1 3.48421
43 15 3.48421
36 36 3.50221
11 30 3.52421
38 39 3.61021
3 1 3.64421
41 36 3.65021
12 39 3.65021
---------------------------
34 1 3.68421
1 30 3.68421
27 39 3.68421
40 39 3.77021
10 39 3.81021
35 39 3.85621
28 36 3.85821
11 39 3.87421
7 1 3.88421
36 30 3.88621
22 15 3.92421
42 36 4.01021
29 30 4.02821
41 39 4.05021
5 39 4.09621
26 1 4.12421
4 36 4.24421
11 36 4.24421
49 36 4.26821
---------------------------
27 30 4.28421
40 36 4.29021
8 30 4.33021
39 39 4.36421
44 36 4.40421
41 30 4.44421
30 36 4.45021
10 30 4.49621
16 39 4.50221
43 1 4.56421
17 36 4.57021
33 30 4.60621
40 39 4.64421
11 39 4.65021
49 30 4.68021
18 30 4.72421
28 30 4.73021
36 39 4.74221
45 39 4.74821
50 30 4.76421
12 30 4.78221
47 36 4.81621
32 36 4.86221
---------------------------
4 39 4.90221
23 36 4.91421
14 36 4.93021
1 36 5.02221
32 30 5.03421
49 1 5.04421
33 36 5.04421
45 36 5.05021
28 39 5.05021
10 36 5.08421
44 30 5.10221
36 36 5.11021
8 36 5.12421
27 36 5.13621
17 30 5.15021
29 36 5.16421
46 36 5.20421
4 30 5.26821
40 30 5.28421
25 30 5.41621
28 30 5.44421
2 36 5.45621
18 36 5.53021
46 30 5.64421
44 1 5.68421
35 30 5.68421
1 39 5.68421
8 39 5.70821
30 39 5.82821
28 39 5.84421
31 30 5.89621
27 30 5.92421
29 30 5.92421
17 39 5.93021
9 30 5.96421
13 39 5.97021
12 36 6.00421
11 30 6.01621
6 36 6.03421
8 36 6.04421
46 39 6.05021
49 30 6.06221
39 36 6.09021
40 36 6.13621
4 36 6.14221
36 1 6.16421
33 30 6.16421
14 30 6.21021
38 36 6.22221
9 36 6.24421
27 39 6.24421
28 30 6.25621
13 36 6.25621
1 30 6.29021
41 36 6.30821
23 15 6.44421
8 30 6.44421
40 30 6.44421
46 30 6.44421
11 36 6.44421
12 39 6.45021
29 39 6.48421
22 1 6.56421
28 1 6.64421
14 36 6.64421
10 39 6.64421
45 39 6.64421
41 39 6.65021
38 39 6.66221
27 30 6.66821
33 36 6.69021
42 30 6.84421
23 1 6.85021
46 36 6.85021
8 39 6.85021
49 36 6.92421
39 39 6.93021
30 36 6.96421
16 30 7.00421
41 30 7.04421
2 39 7.04421
38 36 7.05021
14 39 7.05621
25 39 7.05621
18 30 7.06221
22 15 7.08421
11 30 7.08421
12 36 7.10221
32 39 7.12421
4 39 7.20621
1 1 7.20821
49 30 7.26821
27 39 7.28421
45 36 7.29621
5 30 7.32421
29 36 7.33621
6 30 7.40421
18 36 7.44421
38 39 7.44421
41 39 7.45621
31 36 7.46221
39 30 7.49021
8 30 7.50221
4 1 7.64421
1 30 7.64421
49 39 7.65021
25 30 7.68421
11 36 7.68421
32 36 7.72621
42 39 7.74821
9 30 7.84421
8 39 7.87421
18 30 7.89221
29 39 7.89621
45 30 7.90221
14 36 7.92421
16 36 7.92421
44 39 7.92421
32 39 8.07421
41 30 8.08421
2 30 8.16421
17 30 8.16421
33 30 8.24421
9 39 8.25021
45 36 8.25621
29 30 8.26821
13 30 8.32421
27 36 8.36421
27 30 8.40421
32 30 8.44421
41 36 8.45621
10 30 8.49621
5 36 8.60421
22 1 8.64421
29 36 8.64421
28 30 8.64621
13 39 8.65021
44 36 8.73621
25 36 8.77621
27 39 8.84421
23 15 8.88421
9 30 8.88421
34 39 8.89021
33 39 8.89621
35 36 8.93021
49 36 8.93221
16 39 8.96421
19 30 9.00421
11 39 9.00421
5 30 9.04421
6 39 9.04421
25 39 9.04421
41 39 9.10221
12 30 9.13021
45 30 9.13021
