Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (15.016s)
1 3 11 0.440001
2 75 11 0.800001
3 74 17 0.800001
4 2 8 0.840001
5 1 7 1.04
6 3 13 1.2
7 1 13 1.24
8 78 17 1.24
9 5 8 1.64
10 4 7 1.84
11 83 17 2.04
12 42 12 2.2
13 2 11 2.64
14 16 16 2.8
15 30 17 3.4
16 55 8 3.4
17 53 14 3.6
18 82 17 3.6
19 7 9 3.64
20 6 13 3.8
21 4 1 3.84
22 3 14 4
23 22 16 4
24 9 10 4.2
25 10 1 4.24
26 11 12 5.4
27 8 8 5.44
28 88 17 6
29 85 14 6.04
30 70 17 6.28
31 2 16 6.4
32 14 10 6.6
33 13 9 6.84
34 5 8 6.84
35 12 11 7
36 39 17 7.04
37 51 11 7.2
38 7 15 7.4
39 15 12 7.4
40 6 13 7.44
41 89 17 7.6
42 72 16 7.8
43 98 16 8
44 17 7 8.24
45 18 10 8.4
46 20 16 8.64
47 16 12 8.84
48 19 14 9.2
49 20 13 9.4
