Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1914/1966] Compiling scratch/lastest.cc
[1941/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (13.031s)
---------------------------
1 34 17 0.400001
2 62 15 0.440001
---------------------------
3 46 16 0.440001
4 47 15 0.440001
5 29 14 0.440001
6 59 15 0.440001
7 38 15 0.440001
8 65 15 0.440001
9 67 16 0.440001
10 56 13 0.440001
11 78 16 0.440001
12 51 15 0.440001
13 70 10 0.440001
14 76 12 0.440001
15 71 16 0.440001
16 75 14 0.680001
17 13 17 0.680001
18 37 17 0.840001
19 45 13 1
20 26 13 1
21 25 15 1
22 69 13 1
23 23 12 1
24 41 14 1
25 17 13 1
26 7 13 1.04
27 2 6 1.2
28 19 10 1.2
29 27 14 1.24
30 49 13 1.24
31 4 13 1.24
32 18 11 1.24
33 58 14 1.24
34 5 9 1.24
35 6 10 1.24
36 1 10 1.24
37 7 8 1.24
38 15 16 1.24
39 35 17 1.24
40 2 15 1.24
41 60 14 1.24
42 18 10 1.24
43 9 9 1.24
44 11 14 1.24
45 12 8 1.24
46 14 9 1.24
47 20 3 1.44
48 21 0 1.44
49 22 2 1.44
50 23 0 1.44
51 24 3 1.44
52 25 4 1.44
53 10 5 1.44
54 13 3 1.44
55 26 0 1.44
56 27 2 1.44
57 16 5 1.44
58 3 4 1.48
59 17 7 1.48
60 4 6 1.48
61 6 6 1.48
62 8 6 1.48
63 28 5 1.64
64 29 1 1.64
65 30 0 1.64
66 31 0 1.64
67 32 0 1.64
68 33 3 1.64
69 34 0 1.64
70 35 0 1.64
71 36 0 1.64
72 37 0 1.64
73 38 0 1.64
74 39 1 1.64
---------------------------
75 100 14 1.84
76 84 15 1.88
77 86 13 1.88
78 98 17 2.08
79 93 14 2.08
80 85 17 2.12
81 88 11 2.2
82 104 13 2.2
83 99 17 2.2
84 92 8 2.2
85 82 12 2.2
86 94 10 2.2
87 96 13 2.2
88 79 7 2.24
89 89 10 2.24
90 91 9 2.24
91 81 14 2.24
92 101 16 2.24
93 66 12 2.24
94 102 14 2.24
95 110 10 2.24
96 111 9 2.24
97 83 11 2.24
98 80 10 2.24
99 39 11 2.24
100 97 10 2.32
101 106 10 2.4
102 68 8 2.4
103 87 8 2.44
104 103 7 2.44
105 57 7 2.44
106 105 9 2.44
107 90 10 2.44
108 5 8 2.44
109 8 13 2.44
110 107 7 2.44
111 108 8 2.44
112 109 5 2.44
113 14 9 2.44
114 112 9 2.44
115 113 8 2.44
116 36 7 2.44
117 12 6 2.44
118 114 7 2.44
119 95 6 2.44
120 61 9 2.44
121 1 11 2.6
122 107 6 2.68
123 108 7 2.68
124 109 7 2.68
125 14 13 2.68
126 112 15 2.68
127 113 15 2.68
128 36 11 2.68
129 12 13 2.68
130 114 4 2.68
131 95 7 2.68
132 61 6 2.68
133 68 10 2.8
134 56 8 2.8
135 67 11 2.8
136 44 9 2.8
137 45 11 2.8
138 51 8 2.8
139 43 10 2.84
140 48 9 2.84
141 40 9 2.84
142 59 9 2.84
143 41 10 2.84
144 11 7 2.84
145 42 9 2.84
146 15 8 2.84
147 107 15 2.92
148 108 16 2.92
149 109 17 2.92
150 114 14 2.92
151 61 9 2.92
152 70 7 3
153 71 7 3
154 66 6 3
155 73 6 3
156 74 10 3
157 3 17 3
158 58 10 3
159 64 8 3
---------------------------
160 46 5 3.04
161 69 4 3.04
162 47 7 3.04
163 53 5 3.04
164 54 4 3.04
165 72 6 3.04
166 55 3 3.04
167 49 4 3.04
168 57 6 3.04
169 50 4 3.04
170 60 7 3.04
171 61 6 3.04
172 62 4 3.04
173 63 4 3.04
174 52 4 3.04
175 65 6 3.04
176 1 4 3.2
177 11 7 3.2
178 12 5 3.2
179 13 13 3.2
180 14 7 3.2
181 15 14 3.2
182 2 1 3.24
183 8 2 3.24
184 9 4 3.24
185 10 5 3.24
186 4 3 3.24
187 5 17 3.24
188 6 4 3.24
189 7 15 3.24
190 16 0 3.44
191 17 0 3.44
192 18 0 3.44
193 6 0 3.48
194 7 2 3.48
195 124 11 3.6
196 125 11 3.6
197 130 12 3.6
198 146 11 3.6
199 140 16 3.6
200 138 16 3.64
201 133 9 3.64
202 6 0 3.72
203 7 0 3.72
204 121 11 3.8
205 122 12 3.8
206 123 12 3.8
207 116 15 3.8
208 151 17 3.8
